"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-02-18,1,2026-02-15,0.01,2765.55,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.025,2775.9,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.05,2791.65,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.1,2808.7,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.15,2822.7,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.2,2827.8,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.25,2836.5,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.3,2842.8,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.35,2848.95,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.4,2853.6,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.45,2860.1,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.5,2865.5,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.55,2872.45,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.6,2881.4,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.65,2886.7,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.7,2893.6,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.75,2901,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.8,2904.2,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.85,2910.45,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.9,2922.4,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.95,2953,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.975,2958.725,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.99,2965.46,"quantile","ILI incidence","AT"
2026-02-18,1,2026-02-15,0.01,505.77,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.025,514.8,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.05,522.9,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.1,530.8,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.15,536,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.2,537.8,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.25,542.5,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.3,547.4,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.35,549,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.4,554,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.45,555.55,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.5,557.5,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.55,561.45,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.6,565,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.65,566.35,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.7,571.6,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.75,575,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.8,576,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.85,579,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.9,585,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.95,595.25,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.975,601.525,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.99,608.02,"quantile","ILI incidence","BE"
2026-02-18,1,2026-02-15,0.01,109.99,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.025,110.475,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.05,113.95,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.1,117.9,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.15,120.85,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.2,122.8,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.25,125,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.3,127.7,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.35,129,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.4,129,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.45,131,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.5,132,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.55,133.45,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.6,136,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.65,137.35,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.7,139,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.75,141.25,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.8,145.2,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.85,147.15,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.9,149,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.95,153.05,"quantile","ILI incidence","HR"
2026-02-18,1,2026-02-15,0.975,159.15,"quantile","ILI incidence","HR"
